Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search by Provider or Facility,Firefox 59.0,,2018-04-16 15:17:17,2018-04-16 15:25:02,7m - 45.191s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Gender,Firefox 59.0,,2018-04-16 15:17:18,2018-04-16 15:17:49,31.769s,PASSED
openBrowser,Firefox 59.0,,2018-04-16 15:17:18,2018-04-16 15:17:23,5.400s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 15:17:23,2018-04-16 15:17:26,2.953s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:26,2018-04-16 15:17:29,3.055s,PASSED
setText,Firefox 59.0,,2018-04-16 15:17:29,2018-04-16 15:17:34,4.215s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:34,2018-04-16 15:17:36,2.351s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:36,2018-04-16 15:17:38,2.343s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:38,2018-04-16 15:17:41,2.723s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:41,2018-04-16 15:17:43,2.358s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:43,2018-04-16 15:17:46,2.280s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:46,2018-04-16 15:17:48,2.570s,PASSED
closeBrowser,Firefox 59.0,,2018-04-16 15:17:48,2018-04-16 15:17:49,1.220s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Language,Firefox 59.0,,2018-04-16 15:17:49,2018-04-16 15:20:59,3m - 9.217s,FAILED
openBrowser,Firefox 59.0,,2018-04-16 15:17:50,2018-04-16 15:17:54,4.604s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 15:17:54,2018-04-16 15:17:58,3.489s,PASSED
click,Firefox 59.0,,2018-04-16 15:17:58,2018-04-16 15:18:01,3.020s,PASSED
setText,Firefox 59.0,,2018-04-16 15:18:01,2018-04-16 15:18:05,4.240s,PASSED
rightClick,Firefox 59.0,,2018-04-16 15:18:05,2018-04-16 15:18:07,2.278s,PASSED
click,Firefox 59.0,,2018-04-16 15:18:07,2018-04-16 15:18:09,2.334s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-16 15:18:09,2018-04-16 15:20:48,2m - 38.495s,PASSED
click,Firefox 59.0,,2018-04-16 15:20:48,2018-04-16 15:20:55,7.358s,PASSED
click,Firefox 59.0,,2018-04-16 15:20:55,2018-04-16 15:20:59,3.277s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Participating Heath Plan,Firefox 59.0,,2018-04-16 15:20:59,2018-04-16 15:23:06,2m - 6.891s,PASSED
openBrowser,Firefox 59.0,,2018-04-16 15:20:59,2018-04-16 15:21:05,5.767s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 15:21:05,2018-04-16 15:21:08,3.274s,PASSED
click,Firefox 59.0,,2018-04-16 15:21:08,2018-04-16 15:21:11,3.104s,PASSED
setText,Firefox 59.0,,2018-04-16 15:21:11,2018-04-16 15:21:15,4.139s,PASSED
click,Firefox 59.0,,2018-04-16 15:21:15,2018-04-16 15:21:17,2.326s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-16 15:21:17,2018-04-16 15:22:57,1m - 39.585s,PASSED
click,Firefox 59.0,,2018-04-16 15:22:57,2018-04-16 15:23:04,7.340s,PASSED
closeBrowser,Firefox 59.0,,2018-04-16 15:23:04,2018-04-16 15:23:06,1.214s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Wheelchair,Firefox 59.0,,2018-04-16 15:23:06,2018-04-16 15:23:33,27.887s,PASSED
openBrowser,Firefox 59.0,,2018-04-16 15:23:06,2018-04-16 15:23:10,4.660s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 15:23:10,2018-04-16 15:23:13,3.151s,PASSED
click,Firefox 59.0,,2018-04-16 15:23:13,2018-04-16 15:23:16,3.013s,PASSED
setText,Firefox 59.0,,2018-04-16 15:23:16,2018-04-16 15:23:21,4.188s,PASSED
click,Firefox 59.0,,2018-04-16 15:23:21,2018-04-16 15:23:23,2.331s,PASSED
click,Firefox 59.0,,2018-04-16 15:23:23,2018-04-16 15:23:25,2.307s,PASSED
click,Firefox 59.0,,2018-04-16 15:23:25,2018-04-16 15:23:32,6.891s,PASSED
closeBrowser,Firefox 59.0,,2018-04-16 15:23:32,2018-04-16 15:23:33,1.215s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Last Name,Firefox 59.0,,2018-04-16 15:23:33,2018-04-16 15:24:10,36.441s,FAILED
openBrowser,Firefox 59.0,,2018-04-16 15:23:34,2018-04-16 15:23:38,4.588s,PASSED
setText,Firefox 59.0,,2018-04-16 15:23:38,2018-04-16 15:24:10,31.724s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Primary Care Providers Only,Firefox 59.0,,2018-04-16 15:24:10,2018-04-16 15:24:36,26.585s,PASSED
openBrowser,Firefox 59.0,,2018-04-16 15:24:10,2018-04-16 15:24:16,5.733s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 15:24:16,2018-04-16 15:24:19,3.363s,PASSED
click,Firefox 59.0,,2018-04-16 15:24:19,2018-04-16 15:24:23,3.880s,PASSED
click,Firefox 59.0,,2018-04-16 15:24:23,2018-04-16 15:24:25,2.335s,PASSED
setText,Firefox 59.0,,2018-04-16 15:24:25,2018-04-16 15:24:29,4.120s,PASSED
click,Firefox 59.0,,2018-04-16 15:24:29,2018-04-16 15:24:35,5.787s,PASSED
closeBrowser,Firefox 59.0,,2018-04-16 15:24:35,2018-04-16 15:24:36,1.209s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Shows Facilities Only,Firefox 59.0,,2018-04-16 15:24:36,2018-04-16 15:25:02,26.016s,PASSED
openBrowser,Firefox 59.0,,2018-04-16 15:24:37,2018-04-16 15:24:41,4.570s,PASSED
