Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
selectOptionByValue,Firefox 59.0,,2018-04-18 11:04:57,2018-04-18 11:04:58,0.679s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:04:58,2018-04-18 11:04:58,0.204s,PASSED
,,,,,,
Test Cases/Plans and Products/AmidaCare,Firefox 59.0,,2018-04-18 11:04:58,2018-04-18 11:05:07,8.547s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:04:58,2018-04-18 11:05:02,3.380s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:05:02,2018-04-18 11:05:03,1.064s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:03,2018-04-18 11:05:04,0.984s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:04,2018-04-18 11:05:04,0.297s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:04,2018-04-18 11:05:06,2.096s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:06,2018-04-18 11:05:06,0.386s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:05:06,2018-04-18 11:05:07,0.198s,PASSED
,,,,,,
Test Cases/Plans and Products/ArchCare,Firefox 59.0,,2018-04-18 11:05:07,2018-04-18 11:05:15,8.034s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:05:07,2018-04-18 11:05:10,3.025s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:05:10,2018-04-18 11:05:11,0.900s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:11,2018-04-18 11:05:12,0.922s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:12,2018-04-18 11:05:14,2.016s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:14,2018-04-18 11:05:14,0.419s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:14,2018-04-18 11:05:15,0.456s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:05:15,2018-04-18 11:05:15,0.197s,PASSED
,,,,,,
Test Cases/Plans and Products/Axa Equitable,Firefox 59.0,,2018-04-18 11:05:15,2018-04-18 11:05:23,8.199s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:05:15,2018-04-18 11:05:18,3.009s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:05:18,2018-04-18 11:05:19,1.078s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:19,2018-04-18 11:05:20,0.883s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:20,2018-04-18 11:05:22,2.004s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:22,2018-04-18 11:05:22,0.452s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:22,2018-04-18 11:05:23,0.460s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:05:23,2018-04-18 11:05:23,0.199s,PASSED
,,,,,,
Test Cases/Plans and Products/Blue Cross Blue Shield,Firefox 59.0,,2018-04-18 11:05:23,2018-04-18 11:05:38,14.794s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:05:23,2018-04-18 11:05:26,3.021s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:05:26,2018-04-18 11:05:27,0.869s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:27,2018-04-18 11:05:28,0.781s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:28,2018-04-18 11:05:30,2.021s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:30,2018-04-18 11:05:30,0.584s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:30,2018-04-18 11:05:31,0.590s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:31,2018-04-18 11:05:32,0.647s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:32,2018-04-18 11:05:32,0.713s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:32,2018-04-18 11:05:33,0.753s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:33,2018-04-18 11:05:34,0.760s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:34,2018-04-18 11:05:35,1.080s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:35,2018-04-18 11:05:36,1.044s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:36,2018-04-18 11:05:37,0.772s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:37,2018-04-18 11:05:38,0.858s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:05:38,2018-04-18 11:05:38,0.183s,PASSED
,,,,,,
Test Cases/Plans and Products/Capital District,Firefox 59.0,,2018-04-18 11:05:38,2018-04-18 11:05:49,11.030s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:05:38,2018-04-18 11:05:40,2.585s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:05:40,2018-04-18 11:05:41,0.955s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:41,2018-04-18 11:05:42,0.805s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:42,2018-04-18 11:05:45,2.646s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:45,2018-04-18 11:05:45,0.483s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:45,2018-04-18 11:05:46,0.599s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:46,2018-04-18 11:05:47,0.778s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:47,2018-04-18 11:05:47,0.554s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:47,2018-04-18 11:05:48,0.623s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:48,2018-04-18 11:05:49,0.719s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:05:49,2018-04-18 11:05:49,0.191s,PASSED
,,,,,,
Test Cases/Plans and Products/Catholic Health,Firefox 59.0,,2018-04-18 11:05:49,2018-04-18 11:05:56,7.557s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:05:49,2018-04-18 11:05:51,2.646s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:05:51,2018-04-18 11:05:52,0.920s,PASSED
click,Firefox 59.0,,2018-04-18 11:05:52,2018-04-18 11:05:53,0.803s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:53,2018-04-18 11:05:56,2.413s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:05:56,2018-04-18 11:05:56,0.459s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:05:56,2018-04-18 11:05:56,0.209s,PASSED
,,,,,,
Test Cases/Plans and Products/Centerlight Health,Firefox 59.0,,2018-04-18 11:05:56,2018-04-18 11:06:04,7.934s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:05:56,2018-04-18 11:06:00,3.133s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:00,2018-04-18 11:06:00,0.976s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:00,2018-04-18 11:06:01,0.761s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:01,2018-04-18 11:06:04,2.376s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:04,2018-04-18 11:06:04,0.397s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:04,2018-04-18 11:06:04,0.207s,PASSED
,,,,,,
Test Cases/Plans and Products/Centers Plan for Healthy living,Firefox 59.0,,2018-04-18 11:06:04,2018-04-18 11:06:12,8.170s,PASSED
openBrowser,Firefox 59.0,,2018-04-18 11:06:04,2018-04-18 11:06:07,2.609s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-18 11:06:07,2018-04-18 11:06:08,0.937s,PASSED
click,Firefox 59.0,,2018-04-18 11:06:08,2018-04-18 11:06:09,0.756s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:09,2018-04-18 11:06:11,2.686s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:11,2018-04-18 11:06:12,0.453s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-18 11:06:12,2018-04-18 11:06:12,0.460s,PASSED
closeBrowser,Firefox 59.0,,2018-04-18 11:06:12,2018-04-18 11:06:12,0.184s,PASSED
,,,,,,
