Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Print Pages,Firefox 59.0,,2018-04-16 10:50:20,2018-04-16 10:57:50,7m - 29.507s,FAILED
,,,,,,
Test Cases/Print Pages/Aetna,Firefox 59.0,,2018-04-16 10:50:20,2018-04-16 10:52:53,2m - 32.732s,FAILED
openBrowser,Firefox 59.0,,2018-04-16 10:50:21,2018-04-16 10:50:27,6.238s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 10:50:27,2018-04-16 10:50:30,3.231s,PASSED
click,Firefox 59.0,,2018-04-16 10:50:30,2018-04-16 10:50:33,3.028s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-16 10:50:33,2018-04-16 10:52:13,1m - 39.590s,PASSED
click,Firefox 59.0,,2018-04-16 10:52:13,2018-04-16 10:52:17,4.491s,PASSED
click,Firefox 59.0,,2018-04-16 10:52:17,2018-04-16 10:52:21,3.855s,PASSED
click,Firefox 59.0,,2018-04-16 10:52:21,2018-04-16 10:52:53,32.007s,FAILED
,,,,,,
Test Cases/Print Pages/Capital District,Firefox 59.0,,2018-04-16 10:52:53,2018-04-16 10:55:35,2m - 41.594s,FAILED
openBrowser,Firefox 59.0,,2018-04-16 10:52:53,2018-04-16 10:52:59,5.847s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 10:52:59,2018-04-16 10:53:02,3.226s,PASSED
click,Firefox 59.0,,2018-04-16 10:53:02,2018-04-16 10:53:05,3.122s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-16 10:53:05,2018-04-16 10:54:55,1m - 49.344s,PASSED
click,Firefox 59.0,,2018-04-16 10:54:55,2018-04-16 10:54:59,4.407s,PASSED
click,Firefox 59.0,,2018-04-16 10:54:59,2018-04-16 10:55:03,3.861s,PASSED
click,Firefox 59.0,,2018-04-16 10:55:03,2018-04-16 10:55:35,31.642s,FAILED
,,,,,,
Test Cases/Print Pages/Cigna,Firefox 59.0,,2018-04-16 10:55:35,2018-04-16 10:57:50,2m - 14.812s,PASSED
openBrowser,Firefox 59.0,,2018-04-16 10:55:35,2018-04-16 10:55:41,5.743s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-16 10:55:41,2018-04-16 10:55:44,3.267s,PASSED
click,Firefox 59.0,,2018-04-16 10:55:44,2018-04-16 10:55:47,3.049s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-16 10:55:47,2018-04-16 10:57:39,1m - 51.683s,PASSED
click,Firefox 59.0,,2018-04-16 10:57:39,2018-04-16 10:57:42,3.909s,PASSED
click,Firefox 59.0,,2018-04-16 10:57:42,2018-04-16 10:57:46,3.478s,PASSED
click,Firefox 59.0,,2018-04-16 10:57:46,2018-04-16 10:57:48,2.329s,PASSED
closeBrowser,Firefox 59.0,,2018-04-16 10:57:48,2018-04-16 10:57:50,1.224s,PASSED
