Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search by Health Plan,Firefox 59.0,,2018-04-12 08:35:44,2018-04-12 08:36:58,1m - 14.332s,FAILED
,,,,,,
Test Cases/HP_Advanced Search - Gender,Firefox 59.0,,2018-04-12 08:35:44,2018-04-12 08:35:57,12.372s,FAILED
openBrowser,Firefox 59.0,,2018-04-12 08:35:45,2018-04-12 08:35:48,3.089s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:35:48,2018-04-12 08:35:49,1.382s,PASSED
click,Firefox 59.0,,2018-04-12 08:35:49,2018-04-12 08:35:50,0.423s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:35:50,2018-04-12 08:35:51,1.199s,PASSED
click,Firefox 59.0,,2018-04-12 08:35:51,2018-04-12 08:35:51,0.268s,PASSED
click,Firefox 59.0,,2018-04-12 08:35:51,2018-04-12 08:35:51,0.241s,PASSED
click,Firefox 59.0,,2018-04-12 08:35:51,2018-04-12 08:35:56,5.254s,PASSED
click,Firefox 59.0,,2018-04-12 08:35:56,2018-04-12 08:35:57,0.237s,FAILED
,,,,,,
Test Cases/HP_Advanced Search - Language,Firefox 59.0,"Spanish,\nChinese,\nRussian",2018-04-12 08:35:57,2018-04-12 08:36:10,12.946s,FAILED
openBrowser,Firefox 59.0,,2018-04-12 08:35:57,2018-04-12 08:35:59,2.492s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:35:59,2018-04-12 08:36:01,1.406s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:01,2018-04-12 08:36:01,0.462s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:01,2018-04-12 08:36:02,1.236s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:02,2018-04-12 08:36:03,0.270s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:03,2018-04-12 08:36:04,1.494s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:04,2018-04-12 08:36:09,5.266s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:09,2018-04-12 08:36:10,0.186s,FAILED
,,,,,,
Test Cases/HP_Advanced Search - Wheelchair,Firefox 59.0,,2018-04-12 08:36:10,2018-04-12 08:36:21,11.081s,PASSED
openBrowser,Firefox 59.0,,2018-04-12 08:36:10,2018-04-12 08:36:12,2.467s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:36:12,2018-04-12 08:36:13,1.017s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:13,2018-04-12 08:36:14,0.380s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:14,2018-04-12 08:36:15,1.128s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:15,2018-04-12 08:36:15,0.246s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:15,2018-04-12 08:36:15,0.230s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:15,2018-04-12 08:36:21,5.244s,PASSED
closeBrowser,Firefox 59.0,,2018-04-12 08:36:21,2018-04-12 08:36:21,0.223s,PASSED
,,,,,,
Test Cases/HP_Facilities Only,Firefox 59.0,,2018-04-12 08:36:21,2018-04-12 08:36:27,6.412s,PASSED
openBrowser,Firefox 59.0,,2018-04-12 08:36:21,2018-04-12 08:36:23,2.237s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:36:23,2018-04-12 08:36:25,1.413s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:25,2018-04-12 08:36:25,0.373s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:25,2018-04-12 08:36:26,1.036s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:26,2018-04-12 08:36:26,0.225s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:26,2018-04-12 08:36:27,0.798s,PASSED
closeBrowser,Firefox 59.0,,2018-04-12 08:36:27,2018-04-12 08:36:27,0.201s,PASSED
,,,,,,
Test Cases/HP_Providers Only,Firefox 59.0,,2018-04-12 08:36:27,2018-04-12 08:36:38,10.675s,PASSED
openBrowser,Firefox 59.0,,2018-04-12 08:36:27,2018-04-12 08:36:30,2.285s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:36:30,2018-04-12 08:36:31,1.106s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:31,2018-04-12 08:36:31,0.428s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:31,2018-04-12 08:36:32,1.009s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:32,2018-04-12 08:36:32,0.227s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:32,2018-04-12 08:36:38,5.243s,PASSED
closeBrowser,Firefox 59.0,,2018-04-12 08:36:38,2018-04-12 08:36:38,0.246s,PASSED
,,,,,,
Test Cases/HP_Search by Health Plan name,Firefox 59.0,,2018-04-12 08:36:38,2018-04-12 08:36:44,6.362s,PASSED
openBrowser,Firefox 59.0,,2018-04-12 08:36:38,2018-04-12 08:36:40,2.252s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:36:40,2018-04-12 08:36:42,1.346s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:42,2018-04-12 08:36:42,0.414s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:42,2018-04-12 08:36:43,1.195s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:43,2018-04-12 08:36:44,0.834s,PASSED
closeBrowser,Firefox 59.0,,2018-04-12 08:36:44,2018-04-12 08:36:44,0.186s,PASSED
,,,,,,
Test Cases/HP_Zip code and Radius,Firefox 59.0,,2018-04-12 08:36:44,2018-04-12 08:36:58,14.180s,FAILED
openBrowser,Firefox 59.0,,2018-04-12 08:36:44,2018-04-12 08:36:47,2.278s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:36:47,2018-04-12 08:36:48,1.282s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:48,2018-04-12 08:36:48,0.440s,PASSED
setText,Firefox 59.0,,2018-04-12 08:36:48,2018-04-12 08:36:48,0.065s,PASSED
openBrowser,Firefox 59.0,,2018-04-12 08:36:48,2018-04-12 08:36:51,2.489s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-12 08:36:51,2018-04-12 08:36:53,2.252s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:53,2018-04-12 08:36:54,0.942s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-12 08:36:54,2018-04-12 08:36:55,1.019s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:55,2018-04-12 08:36:58,2.623s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:58,2018-04-12 08:36:58,0.237s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:58,2018-04-12 08:36:58,0.233s,PASSED
closeBrowser,Firefox 59.0,,2018-04-12 08:36:58,2018-04-12 08:36:58,0.182s,PASSED
click,Firefox 59.0,,2018-04-12 08:36:58,2018-04-12 08:36:58,0.005s,FAILED
