Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search by Provider or Facility,Firefox 59.0,,2018-04-17 10:19:57,2018-04-17 10:21:11,1m - 13.667s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Gender,Firefox 59.0,,2018-04-17 10:19:57,2018-04-17 10:20:06,8.367s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 10:19:58,2018-04-17 10:20:01,3.459s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 10:20:01,2018-04-17 10:20:03,1.451s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:03,2018-04-17 10:20:03,0.473s,PASSED
setText,Firefox 59.0,,2018-04-17 10:20:03,2018-04-17 10:20:03,0.118s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:03,2018-04-17 10:20:03,0.289s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:03,2018-04-17 10:20:04,0.270s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:04,2018-04-17 10:20:04,0.722s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:04,2018-04-17 10:20:05,0.266s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:05,2018-04-17 10:20:05,0.247s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:05,2018-04-17 10:20:05,0.507s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 10:20:05,2018-04-17 10:20:06,0.201s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Language,Firefox 59.0,,2018-04-17 10:20:06,2018-04-17 10:20:28,22.044s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 10:20:06,2018-04-17 10:20:08,2.532s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 10:20:08,2018-04-17 10:20:10,2.170s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:10,2018-04-17 10:20:12,1.126s,PASSED
setText,Firefox 59.0,,2018-04-17 10:20:12,2018-04-17 10:20:12,0.095s,PASSED
rightClick,Firefox 59.0,,2018-04-17 10:20:12,2018-04-17 10:20:12,0.265s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:12,2018-04-17 10:20:12,0.270s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 10:20:12,2018-04-17 10:20:15,2.615s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:15,2018-04-17 10:20:17,2.546s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:17,2018-04-17 10:20:18,0.284s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 10:20:18,2018-04-17 10:20:20,2.710s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:20,2018-04-17 10:20:22,2.087s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:22,2018-04-17 10:20:23,0.289s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 10:20:23,2018-04-17 10:20:26,2.732s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:26,2018-04-17 10:20:28,2.007s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 10:20:28,2018-04-17 10:20:28,0.194s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Participating Heath Plan,Firefox 59.0,,2018-04-17 10:20:28,2018-04-17 10:20:37,9.776s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 10:20:28,2018-04-17 10:20:30,2.572s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 10:20:30,2018-04-17 10:20:33,2.173s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:33,2018-04-17 10:20:34,1.116s,PASSED
setText,Firefox 59.0,,2018-04-17 10:20:34,2018-04-17 10:20:34,0.077s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:34,2018-04-17 10:20:34,0.269s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 10:20:34,2018-04-17 10:20:36,1.904s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:36,2018-04-17 10:20:37,1.402s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 10:20:37,2018-04-17 10:20:37,0.173s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Wheelchair,Firefox 59.0,,2018-04-17 10:20:37,2018-04-17 10:20:46,8.314s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 10:20:38,2018-04-17 10:20:40,2.514s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 10:20:40,2018-04-17 10:20:42,1.913s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:42,2018-04-17 10:20:43,0.854s,PASSED
setText,Firefox 59.0,,2018-04-17 10:20:43,2018-04-17 10:20:43,0.077s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:43,2018-04-17 10:20:43,0.273s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:43,2018-04-17 10:20:43,0.240s,PASSED
click,Firefox 59.0,,2018-04-17 10:20:43,2018-04-17 10:20:46,2.154s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 10:20:46,2018-04-17 10:20:46,0.179s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Last Name,Firefox 59.0,,2018-04-17 10:20:46,2018-04-17 10:20:54,8.119s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 10:20:46,2018-04-17 10:20:48,2.554s,PASSED
