Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search by Provider or Facility,Firefox 59.0,,2018-04-13 14:19:21,2018-04-13 14:32:14,12m - 52.695s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Gender,Firefox 59.0,,2018-04-13 14:19:22,2018-04-13 14:20:01,39.661s,PASSED
openBrowser,Firefox 59.0,,2018-04-13 14:19:22,2018-04-13 14:19:27,5.258s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:19:27,2018-04-13 14:19:30,2.960s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:30,2018-04-13 14:19:33,3.182s,PASSED
setText,Firefox 59.0,,2018-04-13 14:19:33,2018-04-13 14:19:38,4.084s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:38,2018-04-13 14:19:40,2.269s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:40,2018-04-13 14:19:42,2.245s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:42,2018-04-13 14:19:51,8.803s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:51,2018-04-13 14:19:53,2.282s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:53,2018-04-13 14:19:55,2.258s,PASSED
click,Firefox 59.0,,2018-04-13 14:19:55,2018-04-13 14:20:00,4.857s,PASSED
closeBrowser,Firefox 59.0,,2018-04-13 14:20:00,2018-04-13 14:20:01,1.170s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Language,Firefox 59.0,,2018-04-13 14:20:01,2018-04-13 14:28:28,8m - 26.953s,PASSED
openBrowser,Firefox 59.0,,2018-04-13 14:20:02,2018-04-13 14:20:06,4.265s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:20:06,2018-04-13 14:20:09,3.253s,PASSED
click,Firefox 59.0,,2018-04-13 14:20:09,2018-04-13 14:20:12,3.347s,PASSED
setText,Firefox 59.0,,2018-04-13 14:20:12,2018-04-13 14:20:17,4.068s,PASSED
rightClick,Firefox 59.0,,2018-04-13 14:20:17,2018-04-13 14:20:19,2.187s,PASSED
click,Firefox 59.0,,2018-04-13 14:20:19,2018-04-13 14:20:21,2.262s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 14:20:21,2018-04-13 14:22:54,2m - 32.666s,PASSED
click,Firefox 59.0,,2018-04-13 14:22:54,2018-04-13 14:22:59,5.281s,PASSED
click,Firefox 59.0,,2018-04-13 14:22:59,2018-04-13 14:23:01,2.269s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 14:23:01,2018-04-13 14:25:38,2m - 36.642s,PASSED
click,Firefox 59.0,,2018-04-13 14:25:38,2018-04-13 14:25:43,4.892s,PASSED
click,Firefox 59.0,,2018-04-13 14:25:43,2018-04-13 14:25:45,2.268s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 14:25:45,2018-04-13 14:28:23,2m - 37.688s,PASSED
click,Firefox 59.0,,2018-04-13 14:28:23,2018-04-13 14:28:27,4.546s,PASSED
closeBrowser,Firefox 59.0,,2018-04-13 14:28:27,2018-04-13 14:28:28,1.161s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Participating Heath Plan,Firefox 59.0,,2018-04-13 14:28:28,2018-04-13 14:30:27,1m - 58.335s,PASSED
openBrowser,Firefox 59.0,,2018-04-13 14:28:29,2018-04-13 14:28:33,4.294s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:28:33,2018-04-13 14:28:36,3.406s,PASSED
click,Firefox 59.0,,2018-04-13 14:28:36,2018-04-13 14:28:40,3.432s,PASSED
setText,Firefox 59.0,,2018-04-13 14:28:40,2018-04-13 14:28:44,4.059s,PASSED
click,Firefox 59.0,,2018-04-13 14:28:44,2018-04-13 14:28:46,2.269s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 14:28:46,2018-04-13 14:30:22,1m - 36.072s,PASSED
click,Firefox 59.0,,2018-04-13 14:30:22,2018-04-13 14:30:26,3.500s,PASSED
closeBrowser,Firefox 59.0,,2018-04-13 14:30:26,2018-04-13 14:30:27,1.168s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Advanced - Wheelchair,Firefox 59.0,,2018-04-13 14:30:27,2018-04-13 14:30:51,24.360s,PASSED
openBrowser,Firefox 59.0,,2018-04-13 14:30:27,2018-04-13 14:30:32,4.773s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:30:32,2018-04-13 14:30:35,2.870s,PASSED
click,Firefox 59.0,,2018-04-13 14:30:35,2018-04-13 14:30:37,2.811s,PASSED
setText,Firefox 59.0,,2018-04-13 14:30:37,2018-04-13 14:30:41,4.055s,PASSED
click,Firefox 59.0,,2018-04-13 14:30:41,2018-04-13 14:30:44,2.269s,PASSED
click,Firefox 59.0,,2018-04-13 14:30:44,2018-04-13 14:30:46,2.234s,PASSED
click,Firefox 59.0,,2018-04-13 14:30:46,2018-04-13 14:30:50,4.025s,PASSED
closeBrowser,Firefox 59.0,,2018-04-13 14:30:50,2018-04-13 14:30:51,1.169s,PASSED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Last Name,Firefox 59.0,,2018-04-13 14:30:51,2018-04-13 14:31:27,35.562s,FAILED
openBrowser,Firefox 59.0,,2018-04-13 14:30:51,2018-04-13 14:30:56,4.271s,PASSED
setText,Firefox 59.0,,2018-04-13 14:30:56,2018-04-13 14:31:27,31.133s,FAILED
,,,,,,
Test Cases/Search by Provider or Facility/PF_Primary Care Providers Only,Firefox 59.0,,2018-04-13 14:31:27,2018-04-13 14:31:52,25.111s,PASSED
openBrowser,Firefox 59.0,,2018-04-13 14:31:27,2018-04-13 14:31:32,5.415s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:31:32,2018-04-13 14:31:36,4.072s,PASSED
click,Firefox 59.0,,2018-04-13 14:31:36,2018-04-13 14:31:39,3.209s,PASSED
click,Firefox 59.0,,2018-04-13 14:31:39,2018-04-13 14:31:42,2.303s,PASSED
