Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Print Pages,Firefox 59.0,,2018-04-13 10:40:08,2018-04-13 10:42:16,2m - 8.368s,FAILED
,,,,,,
Test Cases/Print Pages/Aetna,Firefox 59.0,,2018-04-13 10:40:08,2018-04-13 10:40:52,43.673s,FAILED
openBrowser,Firefox 59.0,,2018-04-13 10:40:08,2018-04-13 10:40:12,3.238s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 10:40:12,2018-04-13 10:40:14,1.873s,PASSED
click,Firefox 59.0,,2018-04-13 10:40:14,2018-04-13 10:40:15,1.097s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 10:40:15,2018-04-13 10:40:16,1.267s,PASSED
click,Firefox 59.0,,2018-04-13 10:40:16,2018-04-13 10:40:19,2.697s,PASSED
click,Firefox 59.0,,2018-04-13 10:40:19,2018-04-13 10:40:21,2.404s,PASSED
click,Firefox 59.0,,2018-04-13 10:40:21,2018-04-13 10:40:52,30.839s,FAILED
,,,,,,
Test Cases/Print Pages/Capital District,Firefox 59.0,,2018-04-13 10:40:52,2018-04-13 10:41:34,41.874s,FAILED
openBrowser,Firefox 59.0,,2018-04-13 10:40:52,2018-04-13 10:40:54,2.473s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 10:40:54,2018-04-13 10:40:56,1.985s,PASSED
click,Firefox 59.0,,2018-04-13 10:40:56,2018-04-13 10:40:57,0.966s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 10:40:57,2018-04-13 10:40:59,1.234s,PASSED
click,Firefox 59.0,,2018-04-13 10:40:59,2018-04-13 10:41:01,2.331s,PASSED
click,Firefox 59.0,,2018-04-13 10:41:01,2018-04-13 10:41:03,2.105s,PASSED
click,Firefox 59.0,,2018-04-13 10:41:03,2018-04-13 10:41:34,30.654s,FAILED
,,,,,,
Test Cases/Print Pages/Cigna,Firefox 59.0,,2018-04-13 10:41:34,2018-04-13 10:42:16,42.320s,FAILED
openBrowser,Firefox 59.0,,2018-04-13 10:41:34,2018-04-13 10:41:36,2.460s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 10:41:36,2018-04-13 10:41:39,2.863s,PASSED
click,Firefox 59.0,,2018-04-13 10:41:39,2018-04-13 10:41:40,1.155s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 10:41:40,2018-04-13 10:41:42,1.228s,PASSED
click,Firefox 59.0,,2018-04-13 10:41:42,2018-04-13 10:41:44,2.161s,PASSED
click,Firefox 59.0,,2018-04-13 10:41:44,2018-04-13 10:41:45,1.659s,PASSED
click,Firefox 59.0,,2018-04-13 10:41:45,2018-04-13 10:42:16,30.681s,FAILED
