Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Print Pages,Firefox 59.0,,2018-04-13 14:56:07,2018-04-13 15:03:34,7m - 27.051s,FAILED
,,,,,,
Test Cases/Print Pages/Aetna,Firefox 59.0,,2018-04-13 14:56:07,2018-04-13 14:58:39,2m - 32.102s,FAILED
openBrowser,Firefox 59.0,,2018-04-13 14:56:07,2018-04-13 14:56:13,6.175s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:56:13,2018-04-13 14:56:17,3.287s,PASSED
click,Firefox 59.0,,2018-04-13 14:56:17,2018-04-13 14:56:20,3.121s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 14:56:20,2018-04-13 14:57:58,1m - 38.630s,PASSED
click,Firefox 59.0,,2018-04-13 14:57:58,2018-04-13 14:58:03,4.601s,PASSED
click,Firefox 59.0,,2018-04-13 14:58:03,2018-04-13 14:58:07,4.240s,PASSED
click,Firefox 59.0,,2018-04-13 14:58:07,2018-04-13 14:58:39,31.771s,FAILED
,,,,,,
Test Cases/Print Pages/Capital District,Firefox 59.0,,2018-04-13 14:58:39,2018-04-13 15:01:19,2m - 39.862s,FAILED
openBrowser,Firefox 59.0,,2018-04-13 14:58:39,2018-04-13 14:58:45,5.887s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 14:58:45,2018-04-13 14:58:48,3.140s,PASSED
click,Firefox 59.0,,2018-04-13 14:58:48,2018-04-13 14:58:51,3.026s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 14:58:51,2018-04-13 15:00:39,1m - 47.940s,PASSED
click,Firefox 59.0,,2018-04-13 15:00:39,2018-04-13 15:00:43,4.390s,PASSED
click,Firefox 59.0,,2018-04-13 15:00:43,2018-04-13 15:00:47,3.824s,PASSED
click,Firefox 59.0,,2018-04-13 15:00:47,2018-04-13 15:01:19,31.503s,FAILED
,,,,,,
Test Cases/Print Pages/Cigna,Firefox 59.0,,2018-04-13 15:01:19,2018-04-13 15:03:34,2m - 14.764s,PASSED
openBrowser,Firefox 59.0,,2018-04-13 15:01:19,2018-04-13 15:01:25,5.791s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-13 15:01:25,2018-04-13 15:01:28,3.107s,PASSED
click,Firefox 59.0,,2018-04-13 15:01:28,2018-04-13 15:01:31,3.041s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-13 15:01:31,2018-04-13 15:03:22,1m - 51.512s,PASSED
click,Firefox 59.0,,2018-04-13 15:03:22,2018-04-13 15:03:27,4.159s,PASSED
click,Firefox 59.0,,2018-04-13 15:03:27,2018-04-13 15:03:30,3.491s,PASSED
click,Firefox 59.0,,2018-04-13 15:03:30,2018-04-13 15:03:32,2.291s,PASSED
closeBrowser,Firefox 59.0,,2018-04-13 15:03:32,2018-04-13 15:03:34,1.198s,PASSED
