Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Print Pages,Firefox 59.0,,2018-04-17 11:22:40,2018-04-17 11:23:16,35.660s,PASSED
,,,,,,
Test Cases/Print Pages/Aetna,Firefox 59.0,,2018-04-17 11:22:41,2018-04-17 11:22:52,11.790s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:22:41,2018-04-17 11:22:44,3.364s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:22:44,2018-04-17 11:22:45,1.101s,PASSED
click,Firefox 59.0,,2018-04-17 11:22:45,2018-04-17 11:22:46,0.909s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:22:46,2018-04-17 11:22:48,1.776s,PASSED
click,Firefox 59.0,,2018-04-17 11:22:48,2018-04-17 11:22:50,2.063s,PASSED
click,Firefox 59.0,,2018-04-17 11:22:50,2018-04-17 11:22:52,1.780s,PASSED
click,Firefox 59.0,,2018-04-17 11:22:52,2018-04-17 11:22:52,0.350s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:22:52,2018-04-17 11:22:52,0.198s,PASSED
,,,,,,
Test Cases/Print Pages/Capital District,Firefox 59.0,,2018-04-17 11:22:52,2018-04-17 11:23:04,11.317s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:22:52,2018-04-17 11:22:55,2.549s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:22:55,2018-04-17 11:22:56,1.264s,PASSED
click,Firefox 59.0,,2018-04-17 11:22:56,2018-04-17 11:22:57,0.907s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:22:57,2018-04-17 11:22:59,1.904s,PASSED
click,Firefox 59.0,,2018-04-17 11:22:59,2018-04-17 11:23:01,2.194s,PASSED
click,Firefox 59.0,,2018-04-17 11:23:01,2018-04-17 11:23:03,1.877s,PASSED
click,Firefox 59.0,,2018-04-17 11:23:03,2018-04-17 11:23:03,0.341s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:23:03,2018-04-17 11:23:04,0.183s,PASSED
,,,,,,
Test Cases/Print Pages/Cigna,Firefox 59.0,,2018-04-17 11:23:04,2018-04-17 11:23:16,12.259s,PASSED
openBrowser,Firefox 59.0,,2018-04-17 11:23:04,2018-04-17 11:23:06,2.575s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-17 11:23:06,2018-04-17 11:23:10,3.323s,PASSED
click,Firefox 59.0,,2018-04-17 11:23:10,2018-04-17 11:23:11,0.932s,PASSED
selectOptionByValue,Firefox 59.0,,2018-04-17 11:23:11,2018-04-17 11:23:12,1.922s,PASSED
click,Firefox 59.0,,2018-04-17 11:23:12,2018-04-17 11:23:14,1.568s,PASSED
click,Firefox 59.0,,2018-04-17 11:23:14,2018-04-17 11:23:15,1.320s,PASSED
click,Firefox 59.0,,2018-04-17 11:23:15,2018-04-17 11:23:16,0.324s,PASSED
closeBrowser,Firefox 59.0,,2018-04-17 11:23:16,2018-04-17 11:23:16,0.208s,PASSED
